text,action,category
 Filtration system was making a loud noise. Terrible.,Pool Maintenance,Recreation
Action needed: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Front desk staff gave us wrong information about breakfast. Terrible.,Staff Communication Training,Services
gym is too small for the number of guests.,Update Gym Equipment,Recreation
Feedback: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Not happy. Unprofessional behavior from the night manager.,Disciplinary Action,Services
curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
the buffet area looked unclean and messy.,Inspect Kitchen Hygiene,Food
Action needed: Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation
Review: Employee was on their phone ignoring guests.,Disciplinary Action,Services
The buffet area looked unclean and messy. Terrible.,Inspect Kitchen Hygiene,Food
the room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Action needed: They didn't tell us the pool was under maintenance.,Staff Communication Training,Services
Not happy. WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
Feedback: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
the presentation of the dishes was poor.,Revise Menu Quality,Food
"Key cards didn't work, had to go back down.",Review Check-in Process,Services
Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
"Not happy. Worst dining experience ever, I expect compensation.",Compensate Guest,Food
Action needed: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
I want a refund for this terrible meal. Terrible.,Compensate Guest,Food
Review: No water or towels available in the gym.,Update Gym Equipment,Recreation
Review: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food
Action needed: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
"Honestly, tennis coach didn't show up for the lesson.",Recreation Staff Review,Recreation
Review: The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
Action needed: The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
i think i saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Action needed: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Feedback: I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Action needed: The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food
Not happy. They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
Action needed: Staff got my order wrong three times.,Staff Training (Food),Food
"Honestly, curtains were dusty and triggered my allergies.",Deep Clean & Maintenance,Rooms
the dessert was stale and dry.,Revise Menu Quality,Food
found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
I think I saw a mouse behind the curtain. Terrible.,Pest Control Investigation,Rooms
Review: No water or towels available in the gym.,Update Gym Equipment,Recreation
"Honestly, staff got my order wrong three times.",Staff Training (Food),Food
Not happy. The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
staff got my order wrong three times.,Staff Training (Food),Food
"Review: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
"Review: Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
"Review: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
Review: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
Action needed: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
"Honestly, asked for no onions but got onions anyway.",Staff Training (Food),Food
There was a spider on the pillow. Terrible.,Pest Control Investigation,Rooms
Not happy. Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
Unprofessional behavior from the night manager.,Disciplinary Action,Services
Treadmills were all out of order.,Update Gym Equipment,Recreation
Not happy. The dessert was stale and dry.,Revise Menu Quality,Food
The server was rude when I asked for water.,Staff Training (Food),Food
bartender was visibly drunk.,Disciplinary Action,Services
Staff seemed confused by the check-in software.,Review Check-in Process,Services
"Honestly, too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
staff was arguing loudly in the hallway.,Disciplinary Action,Services
Action needed: No one came to clear our table for 30 minutes.,Staff Training (Food),Food
Review: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
"Review: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
"Honestly, pool ladders are loose and dangerous.",Pool Maintenance,Recreation
Feedback: No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
"Honestly, tennis coach didn't show up for the lesson.",Recreation Staff Review,Recreation
cockroach in the shower.,Pest Control Investigation,Rooms
Action needed: Cockroach in the shower.,Pest Control Investigation,Rooms
"Honestly, pool was freezing cold, heater broken.",Pool Maintenance,Recreation
Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Not happy. System crashed during check-in.,Review Check-in Process,Services
Review: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Staff was arguing loudly in the hallway. Terrible.,Disciplinary Action,Services
Feedback: The room is infested with insects.,Pest Control Investigation,Rooms
Feedback: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Feedback: Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
Action needed: Seasonal dishes listed on the menu were not available.,Revise Menu Quality,Food
Feedback: I found a hair in my food.,Inspect Kitchen Hygiene,Food
Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
the tv is tiny and has no channels.,Upgrade Room Amenities,Rooms
"Too much chlorine in the pool, burned my eyes. Terrible.",Pool Maintenance,Recreation
"Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
"worst dining experience ever, i expect compensation.",Compensate Guest,Food
pool ladders are loose and dangerous.,Pool Maintenance,Recreation
not enough vegetarian or vegan options.,Revise Menu Quality,Food
Action needed: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
"Honestly, water looked stagnant and dirty.",Pool Maintenance,Recreation
Not happy. System crashed during check-in.,Review Check-in Process,Services
Feedback: Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
the tv is tiny and has no channels.,Upgrade Room Amenities,Rooms
Kids club staff seemed bored and inattentive. Terrible.,Recreation Staff Review,Recreation
Feedback: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Not happy. Water looked stagnant and dirty.,Pool Maintenance,Recreation
restaurant manager was shouting at the staff.,Staff Training (Food),Food
The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Feedback: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Action needed: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Action needed: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Action needed: Staff member laughed at my complaint.,Disciplinary Action,Services
"the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
Feedback: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food
Feedback: Staff seemed confused by the check-in software.,Review Check-in Process,Services
The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food
Feedback: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
"Honestly, there was a spider on the pillow.",Pest Control Investigation,Rooms
they didn't tell us the pool was under maintenance.,Staff Communication Training,Services
Not happy. Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
Action needed: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Restaurant manager was shouting at the staff. Terrible.,Staff Training (Food),Food
Gym equipment is ancient and rusty.,Update Gym Equipment,Recreation
"Honestly, pool ladders are loose and dangerous.",Pool Maintenance,Recreation
Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
Review: We were promised a complimentary drink but never got it.,Compensate Guest,Food
Action needed: Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food
Not happy. The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
there was a spider on the pillow.,Pest Control Investigation,Rooms
Not happy. Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
"Honestly, dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms
Action needed: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
Tour guide gave us incorrect historical info.,Recreation Staff Review,Recreation
Review: WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
Not happy. Valet scratched my car and denied it.,Disciplinary Action,Services
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation
i think i saw a mouse behind the curtain.,Pest Control Investigation,Rooms
Review: The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
i found a hair in my food.,Inspect Kitchen Hygiene,Food
Entertainment team was low energy and boring.,Recreation Staff Review,Recreation
Asked for no onions but got onions anyway. Terrible.,Staff Training (Food),Food
They lost our reservation even though we booked weeks ago. Terrible.,Compensate Guest,Food
Room wasn't ready at 4 PM check-in time. Terrible.,Review Check-in Process,Services
Action needed: They couldn't find my booking in the system.,Review Check-in Process,Services
Feedback: They forgot to give us our wake-up call.,Staff Communication Training,Services
"Honestly, the furniture is worn out and chipped.",Upgrade Room Amenities,Rooms
Activity director was rude to the guests. Terrible.,Recreation Staff Review,Recreation
Action needed: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
Review: I want a refund for this terrible meal.,Compensate Guest,Food
Action needed: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
